Gene,H1hESC_rep1,H1hESC_rep2,H9hESC_rep1,H9hESC_rep2,hNSC_rep1,hNSC_rep2
EEF1A1,13.791849,14.001989,13.750439,13.679342,13.854114,13.854114
SLC35E2,4.492365,4.113211,3.059067,2.66224,2.601636,3.401862
RPS28,10.646377,10.685349,10.7573,10.878309,8.943757,9.024636
IPO13,5.779928,5.918798,5.836256,5.075487,6.503327,6.570179
AFAP,2.614366,2.524534,1.81933,1.975451,2.194822,3.440177
GGTLA4,1.471043,2.256173,2.096869,1.965021,1.768269,2.298449
CDT1,8.156037,8.060218,8.160531,8.322295,7.493943,7.50963
TRPV1,1.733759,1.783308,1.647614,1.963449,2.597371,2.372282
LPP,8.914063,8.650021,8.733601,8.528909,7.822895,7.895255
CCNE2,1.783308,1.893221,1.520288,2.292786,1.658861,1.494483
HNRPAB,12.249823,12.203655,12.434135,12.325133,12.06736,12.078599
LOH12CR1,2.313504,3.404439,3.354524,2.699646,2.855477,3.023817
SNIP1,6.212229,6.132627,6.454486,6.501907,6.352115,6.517084
COL17A1,4.12475,4.684847,3.774167,4.363602,2.034142,1.959813
BCL6B,2.84593,3.42072,4.364229,3.879321,1.59968,3.379939
GRHL1,2.778603,2.473626,2.656503,1.834514,2.122142,2.760839
LOC644613,2.393209,2.713131,2.906245,1.826413,1.552597,1.767061
ATP13A4,1.498638,2.025503,1.605829,2.119446,2.377709,2.792611
EPAG,2.03547,1.634453,2.463539,1.626938,1.924792,1.686371
HMG20B,7.89678,8.109931,8.493582,8.533471,9.103008,9.153205
KCNG4,1.637585,1.23113,1.745623,2.753329,1.282019,1.776039
MLYCD,5.474848,5.135177,5.31168,5.360704,4.971412,4.994333
ITGA11,2.83556,1.949359,1.806529,2.35278,1.34865,2.966629
TICAM2,4.615013,4.471703,5.106942,5.188274,5.699651,5.545739
SERTAD2,7.051925,7.124608,7.472062,7.221271,7.882685,8.056527
SPP1,8.621408,8.354246,7.12024,7.378288,4.135471,3.925335
HBE1,3.068157,2.169393,1.69028,1.968964,2.320636,1.649888
PCBD2,3.986618,3.753127,4.947781,3.752636,5.328978,4.953312
ZBED2,1.397913,1.613565,1.658716,1.71424,1.535897,1.865537
USP21,2.887137,3.332396,3.460705,3.900117,3.673393,2.669742
RHD,1.35933,2.657665,1.546732,2.195639,1.698401,2.34447
AUP1,6.263955,6.665945,5.721286,5.950697,6.121699,6.077122
MFN2,7.055334,6.670609,6.84541,6.863045,7.043643,7.1569
BRD9,8.539002,8.695591,8.415807,8.35592,8.821467,8.851742
DERL3,3.138084,2.956985,2.247589,3.751685,3.25555,2.130673
SYTL2,1.755679,1.763083,1.651264,1.436378,2.476902,1.463805
SELM,6.168526,5.87023,5.97416,6.083255,2.765768,2.261553
CTRB1,2.0614,1.962594,1.51197,2.656034,1.891263,2.053081
FOXI1,2.15717,2.128464,3.12449,1.767743,2.980587,2.757439
ZFPM1,6.966728,7.159857,7.387334,7.337542,7.65773,7.635644
UTY,1.895481,2.339209,1.99547,1.597403,1.565496,1.45375
GPR32,1.532848,1.825827,1.803306,2.257822,1.994146,2.090588
FBXL10,2.551737,1.960228,2.392999,3.545424,2.557395,3.431127
CYP26A1,7.096043,7.313991,8.738732,9.068976,2.129445,1.523192
WNT2B,3.41802,3.145603,3.943896,3.655104,4.276728,3.87822
HIST1H2BD,5.706383,5.668102,5.769431,5.878547,4.940974,4.939994
GADD45G,6.716306,6.86048,7.532898,7.655426,4.933485,5.098364
ERGIC1,3.503016,3.09988,2.077641,2.818304,2.290112,2.19051
ABCD4,2.547491,3.012482,2.43704,2.139346,3.947547,3.516299
C4ORF8,6.117124,6.484084,6.28821,6.173495,7.035704,7.130433
NCOA6IP,5.853885,5.86234,5.884193,6.367963,5.457611,5.389827
SKIV2L2,8.169538,8.161614,8.560836,8.662129,7.611863,7.580134
GEFT,2.585431,1.90932,1.273837,2.011146,1.940791,1.849921
NUMBL,3.145603,3.346103,3.305643,2.887701,4.095089,4.287367
HDAC8,3.689151,3.237749,4.165398,4.128724,5.553873,5.610803
KDELC2,7.20719,7.271543,7.130433,6.919786,7.398843,7.560124
WHSC1,1.507303,2.465969,2.699646,1.79788,3.798427,3.524969
MUC13,1.607697,2.107431,2.003267,2.010467,2.391198,2.082757
AQP3,2.156542,2.235139,2.185322,1.969507,2.647759,1.999376
FBXO44,2.737696,1.745371,2.110212,2.390205,1.456143,2.44173
ENTPD2,2.293544,1.570422,1.312478,2.486321,1.821101,1.49229
MARK4,2.146884,1.576185,3.477338,2.067684,1.697011,2.669999
SPRED3,2.505964,2.076349,2.537291,2.217466,2.20079,2.999833
CTNNB1,1.873688,4.008865,1.836389,1.89812,2.607,2.061772
C6ORF201,1.367286,2.036958,1.441711,2.37753,1.981824,1.531892
EXOC6,4.732224,4.855603,5.401953,5.497101,6.39216,6.275372
GPC2,7.055892,7.225359,7.114858,7.378737,7.341656,7.400116
ASB11,1.808215,2.262043,2.488637,1.863932,2.823947,1.995537
RTN3,3.014955,3.535695,3.602221,2.705832,3.625711,2.748197
PSG7,2.17185,1.998296,2.278696,2.120609,1.583056,2.327465
ADAM33,1.956244,2.771744,1.660858,2.229505,2.859839,2.789443
WDFY3,1.953655,1.64461,2.175265,1.524492,2.0893,1.666022
KIAA0586,5.714663,5.477839,5.507042,5.83092,5.814438,5.991382
C8ORFK32,2.134694,2.463111,2.169223,1.838211,2.577064,1.966818
STK10,3.734587,4.717958,4.137448,4.475039,4.182068,4.326496
GSG1,2.119103,2.408636,3.36598,2.115252,3.679874,2.932375
