Gene,Exp
EEF1A1,13.791849
SLC35E2,4.492365
RPS28,10.646377
IPO13,5.779928
AFAP,2.614366
GGTLA4,1.471043
CDT1,8.156037
TRPV1,1.733759
LPP,8.914063
CCNE2,1.783308
HNRPAB,12.249823
LOH12CR1,2.313504
SNIP1,6.212229
COL17A1,4.12475
BCL6B,2.84593
GRHL1,2.778603
LOC644613,2.393209
ATP13A4,1.498638
EPAG,2.03547
HMG20B,7.89678
KCNG4,1.637585
MLYCD,5.474848
ITGA11,2.83556
TICAM2,4.615013
SERTAD2,7.051925
SPP1,8.621408
HBE1,3.068157
PCBD2,3.986618
ZBED2,1.397913
USP21,2.887137
RHD,1.35933
AUP1,6.263955
MFN2,7.055334
BRD9,8.539002
DERL3,3.138084
SYTL2,1.755679
SELM,6.168526
CTRB1,2.0614
FOXI1,2.15717
ZFPM1,6.966728
UTY,1.895481
GPR32,1.532848
FBXL10,2.551737
CYP26A1,7.096043
WNT2B,3.41802
HIST1H2BD,5.706383
GADD45G,6.716306
ERGIC1,3.503016
ABCD4,2.547491
C4ORF8,6.117124
NCOA6IP,5.853885
SKIV2L2,8.169538
GEFT,2.585431
NUMBL,3.145603
HDAC8,3.689151
KDELC2,7.20719
WHSC1,1.507303
MUC13,1.607697
AQP3,2.156542
FBXO44,2.737696
ENTPD2,2.293544
MARK4,2.146884
SPRED3,2.505964
CTNNB1,1.873688
C6ORF201,1.367286
EXOC6,4.732224
GPC2,7.055892
ASB11,1.808215
RTN3,3.014955
PSG7,2.17185
ADAM33,1.956244
WDFY3,1.953655
KIAA0586,5.714663
C8ORFK32,2.134694
STK10,3.734587
GSG1,2.119103
RESP18,1.825961
IQCD,1.628757
RNF2,2.937216
ADAMTS20,2.583292
MBTPS1,8.528909
TGOLN2,7.604505
ARMCX3,2.096758
TMEM25,2.633329
TFDP3,1.234328
MKL1,6.378649
RRAGB,2.026881
FHOD1,7.394527
MSH5,3.780271
MAP3K11,6.548482
RORC,1.780698
SLC38A2,8.720075
GSTM4,2.411097
GRIK1,1.636641
GALNT11,7.395815
BASP1,11.443535
CCT3,7.646532
EHD1,7.853534
RND1,5.912291
ITSN1,2.410019
RPS16,13.416684
UBIAD1,6.328323
EVC,3.779779
CWF19L1,8.458868
KCNA4,1.357683
RASL11A,1.907332
ZNF187,1.821559
SETD8,5.634774
OR6C76,2.333834
ANK3,2.305452
SCYL3,3.721312
TPST1,7.023605
ABCC5,6.607366
FGFR3,2.78589
TP53I3,3.278251
C6ORF129,7.024613
SMC1L1,3.637024
PPEF1,2.148503
DHX57,2.487287
LOC442715,1.906281
CSNK1G3,6.888398
UPP2,1.70443
TTN,1.840434
KCNMB1,2.883947
MGC42105,1.88829
ELF4,5.359065
PAPOLB,2.027
KRAS,1.304585
LMBRD1,7.699477
PPYR1,2.689542
MRPL43,3.664504
PNKD,3.90403
DVL2,7.232845
LOC649159,3.028122
CDKN2C,3.233079
FLJ41733,1.949133
IL4R,5.188274
LOC653797,2.358769
CCM2,2.04933
COX4I1,12.353439
C20ORF112,1.910178
HSPC049,5.530498
CBR3,4.503238
POPDC3,3.759172
PPP2R4,2.843542
SECTM1,2.919756
FBXO32,3.912138
NOG,2.394245
ZNF507,2.938598
TTC8,4.300985
LOC200312,4.828089
SPAG1,2.091777
FN3KRP,7.889702
FLJ46481,2.39604
PDHX,8.333382
NALP7,4.226778
ERCC1,3.686481
KIAA1324L,7.287495
IFNA17,1.516314
IPO7,7.434009
SUCLG2,7.305986
LOC653723,2.623226
RAB2,6.848592
TRPT1,2.661773
PRKCBP1,7.68607
SPATA7,6.162719
PHKB,5.248918
UCN2,3.056514
CA1,1.65306
MTHFD2L,5.130657
LOC644398,2.342428
RAC1,2.701857
TMEM98,7.128934
ALS2CR19,2.27424
LOC112714,3.625186
SLC26A4,1.973745
BRAF,4.596281
THAP7,5.289496
RIOK1,5.794907
LOC650254,2.14974
APEX2,7.744527
C21ORF25,6.918138
MTMR9,8.185627
C9ORF28,5.995079
C5ORF16,5.846901
DTNA,5.599409
TSHB,1.733325
POLD1,8.130394
ACTR5,6.695902
C11ORF35,4.061118
LOC647760,3.818971
C9ORF19,8.89989
INPP4A,4.171055
SH3KBP1,1.633099
GRB10,2.738765
FAM89A,5.224282
SHH,2.038189
KIAA0773,3.594583
C10ORF111,2.262359
THEX1,1.891379
TMCO5,2.260755
C14ORF2,7.636702
GLT8D1,2.522384
ANK2,1.644104
HTR7,2.861682
RPS6KA3,3.840923
ERF,5.948687
WDR71,7.48905
C19ORF37,9.18095
HIC2,8.489402
CDC42EP2,4.624331
TMOD2,2.042081
PIK3AP1,2.562454
CLK1,3.490596
LOC400451,7.354201
ATP5J,7.649164
HOXA3,2.221996
IL10RA,2.279299
LRRC17,4.741891
GAS2,1.834392
SLC15A1,2.303606
LMX1B,2.48115
UBOX5,3.151473
GBGT1,4.158249
CDC5L,7.142319
EZH2,7.335864
RHOF,3.374607
POGZ,5.787042
PRRG3,2.922972
RASAL2,1.977023
DLK1,5.741626
NUP160,9.244348
PRDM2,2.124845
HIST1H2BL,2.178073
CABLES1,6.620292
CSN1S1,1.6358
COL4A1,9.769903
PCDHGA12,2.012421
HSD3B7,3.224531
SOX3,7.707143
OR10Q1,1.653962
CCDC64,1.937273
C20ORF152,2.15044
ECH1,9.539666
ST6GAL1,2.242054
PER1,2.243633
CSTF2,8.063084
SH3D19,6.995798
MSH4,1.889554
DPRX,1.342099
SNCG,3.207949
ZSCAN2,4.9436
AAMP,7.010735
CLEC10A,1.800652
GCNT2,3.880744
SLC22A17,7.972899
EFEMP2,6.221832
ZWINT,2.470476
ATP1B4,1.71096
PITPNM1,8.027549
C3ORF22,2.168244
HIST1H1B,2.025895
KIAA1893,4.916175
GPR26,2.224613
MUC20,1.879505
LCE2A,2.154925
APP,7.332683
PFKFB4,7.109017
ZNF580,3.12449
MC1R,5.040851
FAM29A,1.907183
USP32,2.255467
RECQL5,2.277115
DUS1L,5.261331
FUT3,2.237985
ATP8B3,4.56619
KIAA1946,3.148714
KIF3A,2.46124
SULT6B1,2.589468
NKIRAS2,6.50382
RAXL1,6.017419
LOC643394,1.584701
SLC35A3,6.961448
HNRPDL,8.278611
DMD,2.297704
PHF14,6.928467
CDK2,5.739261
PSORS1C2,2.373069
MID1,2.126382
IL11RA,2.057132
MGC48628,1.910846
SULT1C3,1.884586
HES4,7.313991
KENAE,1.91845
S100A1,2.802042
GLUL,3.640223
IGSF6,2.384755
SEMA3B,4.358133
EDG1,2.74688
SIKE,4.965418
TEX10,8.770697
C14ORF80,4.645272
XYLT1,2.501811
TRIM40,2.089697
ATP5D,10.165158
KCTD9,5.640691
PIGO,5.368123
UBL7,5.869822
GPR63,5.24721
PTPRC,2.047073
KLHL7,4.727211
CUL3,2.336531
GALNT9,5.076071
CORO1B,8.129913
TIMM9,7.278021
FZD2,7.639647
UAP1L1,3.641437
ZFAND2B,5.428166
ITGBL1,2.016572
ERBB4,2.553023
OXCT2,4.674582
CST11,1.893084
SOX10,4.483914
VMP,1.341745
CCL24,1.222009
WDR63,1.425664
MLC1,1.826185
DKFZP761H1710,2.230029
PDPK1,6.83224
ADRA1A,1.413182
LAMC2,5.321957
FGF13,2.51978
CHFR,8.87824
OGFOD1,4.889696
MGC34830,3.031076
STS-1,5.10072
SCMH1,5.93415
ZNF483,4.324085
PBEF1,6.166785
CACNB2,2.568733
TREX1,6.663463
USP2,2.53665
ITGB4,1.891083
FLJ13984,2.948681
SMC6L1,5.521427
AGPAT3,4.224937
C17ORF28,3.989672
MRLC2,10.641202
TPTE2,1.433096
ZYG11BL,4.577382
MKNK2,6.820752
ATOH8,1.549616
NUDT1,5.972672
CX3CL1,2.889787
ITGA3,1.827177
LRIG2,6.059565
FLJ39155,5.876158
PARD6A,5.973738
BCL2L1,9.594753
ZDHHC20,4.518029
COX6C,11.312141
BTBD11,1.888807
GCC2,1.625811
DNAJC5B,1.578166
CD1C,1.671688
FLJ33718,2.120878
MPP2,5.355451
PCDHGA3,1.955379
SIRT6,3.023817
TRPV1,1.984525
ADCY9,4.850099
ELK1,8.005365
PTPN23,5.573845
HAPLN3,6.261168
ATP1B3,8.387299
UBE3A,2.433353
HEYL,4.819064
HOXB4,1.734896
ZNF24,4.574675
LOC440742,1.745623
TESK2,6.476825
ASB13,5.49947
LOC283551,2.068921
KIAA0323,6.17235
RGL1,5.770433
TRAF7,2.485815
CCL18,1.98603
ACSL3,3.982641
PTF1A,1.478097
ACTN2,4.139235
TXN2,3.150823
SPANX-N1,1.838862
PLAC4,1.842634
ACRV1,2.114222
ZP1,1.775743
GML,1.85466
UTX,6.742898
CLEC7A,2.156143
TMPIT,5.614378
GPR154,1.47365
LOC653614,1.574891
ATP6V1G2,4.851364
C5ORF21,6.694791
MED6,9.153205
CPSF1,7.727734
MRPS31,8.47031
EFNB1,3.452212
HSPA1L,4.187241
TEKT1,2.241482
FCHO1,5.801465
CHD1,7.49888
RASA3,4.197676
ZDHHC22,4.669521
ZNF589,7.972369
THRA,2.518997
MGC4618,5.29909
HERC6,5.876504
KNS2,7.751282
LOC653705,4.963363
RAD9B,2.195262
MCTP1,2.882244
ZNF197,5.668593
CECR5,8.933268
RALGPS2,2.852072
C15ORF48,1.829381
SUHW2,3.970129
GPR157,1.086181
FLJ39599,2.973867
TRIM32,6.786625
CX40.1,2.054335
CASK,7.407456
LSP1,1.472142
TRIM6,4.235269
C8ORF15,1.872131
MGC70863,3.762965
C2ORF17,6.294171
LOC347273,5.926711
DCX,1.668537
FLJ46385,2.073387
ACO2,6.919171
C1ORF58,3.267092
RANBP2,4.516653
CLC,2.962375
LENG8,3.301101
SCAMP2,4.603802
LOC653285,1.303711
KIF7,5.564559
HNRPH3,8.291709
TMED2,9.046617
NFIC,2.342021
DNMT3A,5.917853
ZNF447,8.789442
SCARA3,2.106326
LOC647649,2.61117
OTOA,1.688474
P2RX3,2.930631
KIAA2010,2.031729
SLC27A4,1.925294
NUTF2,6.241557
TRNT1,2.1392
TOM1L2,3.871643
PRDM1,4.826154
ABR,2.157519
WDR19,7.050184
ZCCHC11,7.51232
PTBP1,11.668944
MORN1,1.863043
STK24,10.739613
RNF138,6.622102
ZNF502,4.008512
PCDHGC5,2.398352
PIK4CA,8.268221
CASZ1,5.947781
PHF17,6.333218
NFAT5,1.313435
C19ORF25,5.812716
SLC7A11,4.23088
PURG,2.965637
MDM1,2.605328
KRTAP3-1,1.720462
C12ORF46,5.571927
UNQ6411,1.695499
SLC23A2,2.736463
INPP4A,1.868432
UTRN,3.302042
FLJ14668,8.882871
RIOK2,7.983984
SPAG11,2.213675
LOC51255,9.356667
PLAC8L1,2.759933
SCGB1A1,2.379644
SELV,5.796381
MRPS22,9.028214
DCLRE1B,3.351331
PRDM16,1.174249
SCARF2,4.003428
TNFSF14,1.939023
CAPNS1,8.82425
RPL17,10.407653
KLK3,1.637845
TNFAIP1,5.877734
XKR6,3.720625
OR5R1,2.041026
DSG3,1.736354
TSPAN3,8.845287
RNASE9,1.471684
RFP,6.601786
C1ORF124,5.692544
EIF4B,10.76778
IFT81,3.691262
ASAH1,2.80934
DMRTA1,5.065204
FLCN,2.505572
ASB6,2.565941
ING1,2.629952
ZMYND12,1.845468
SIGLEC10,1.182207
DDX26,7.959617
ARPC3,10.715604
