Symbol,UniProtID
SCAF1,Q9H7N4
JUB,Q96IF1
SLC9A2,Q9UBY0
PRR11,Q96HE9
PPP2R5C,Q13362
MED25,Q71SY5
RORB,Q92753
BTK,Q06187
AQP2,P41181
SFRS4,Q08170
DDX17,Q92841
FLI1,Q01543
WDR77,Q9BQA1
RPLP1,P05386
LSM4,Q9Y4Z0
RAB25,P57735
H2AFX,P16104
LSM3,P62310
C19orf43,Q9BQ61
OGT,O15294
SH3GL3,Q99963
RARG,P13631
RXRG,P48443
MED12,Q93074
HMG20A,Q9NP66
UBR1,Q8IWV7
PROX1,Q92786
JUP,P14923
SPAG9,O60271
HNF4A,P41235
MTF2,Q9Y483
UBR5,O95071
JUN,P05412
MED17,Q9NVC6
C2orf51,Q96LM6
TGIF2,Q9GZN2
PRDM2,Q13029
GRAP2,O75791
PNMA1,Q8ND90
FUS,P35637
GNAI1,P63096
RAD23A,P54725
IGF2BP1,Q9NZI8
IGF2BP3,O00425
CALR,P27797
DIDO1,Q9BTC0
TAL1,P17542
ARIH1,Q9Y4X5
TCF20,Q9UGU0
LHX2,P50458
NKX2-1,P43699
DVL2,O14641
KLF5,Q13887
BMP2,P12643
OSGEP,Q9NPF4
SMAD4,Q13485
SMAD3,P84022
EN1,Q05925
DDX5,P17844
PCDH17,O14917
HNRNPA1,P09651
KDR,P35968
EPHA4,P54764
DLX1,P56177
NOTCH1,P46531
RGS4,P49798
ARF3,P61204
RAD54B,Q9Y620
HSPA13,P48723
BMP7,P18075
HNF1B,P35680
LZTS2,Q9BRK4
HNF1A,P20823
FOXA2,Q9Y261
MLH1,P40692
ZEB2,O60315
NFKB1,P19838
GLI2,P10070
GLI3,P10071
GLI1,P08151
WDR36,Q8NI36
RRN3,Q9NYV6
HIF1AN,Q9NWT6
COPB1,P53618
ANP32A,P39687
FRAT2,O75474
TOP2A,P11388
EXOSC9,Q06265
UFD1L,Q92890
SNAPC1,Q16533
CDC2,P06493
HIST1H1A,Q02539
SNAPC3,Q92966
EXOSC5,Q9NQT4
TP53,P04637
TLE3,Q04726
SLC3A2,P08195
HN1,Q9UK76
TTF2,Q9UNY4
EAPP,Q56P03
CCND1,P24385
TAF12,Q16514
TAF15,Q92804
RIPK1,Q13546
PSEN2,P49810
GADD45G,O95257
SORT1,Q99523
RBM39,Q14498
USP25,Q9UHP3
ARL4D,P49703
KCNH5,Q8NCM2
USP7,Q93009
ABTB2,Q8N961
SUFU,Q9UMX1
NUFIP2,Q7Z417
SET,Q01105
MDC1,Q14676
PER2,O15055
USP37,Q86T82
FBXW11,Q9UKB1
RASA1,P20936
BUB3,O43684
RBM23,Q86U06
JARID2,Q92833
VTA1,Q9NP79
ILF3,Q12906
TRIM24,O15164
WWTR1,Q9GZV5
STAT1,P42224
TRIM22,Q8IYM9
STAT3,P40763
FZD7,O75084
CAPRIN1,Q14444
