name,hgnc_symbol,som.freq,amp.freq,del.freq,Freq,Type
9606.ENSP00000417281,MDM2,2,25,0,27,ALTERED
9606.ENSP00000394932,CDKN2A,2,0,165,167,ALTERED
9606.ENSP00000269305,TP53,78,0,5,83,ALTERED
9606.ENSP00000265741,CDK14,0,10,1,11,ALTERED
9606.ENSP00000258774,HUS1,0,10,0,10,ALTERED
9606.ENSP00000244741,CDKN1A,0,0,0,0,LINKER
9606.ENSP00000227507,CCND1,0,0,0,0,LINKER
9606.ENSP00000261254,CCND2,0,0,0,0,LINKER
9606.ENSP00000262662,CDKN2C,3,0,11,14,ALTERED
9606.ENSP00000267163,RB1,25,0,7,32,ALTERED
9606.ENSP00000343535,USP7,0,0,0,0,LINKER
9606.ENSP00000276925,CDKN2B,1,0,160,161,ALTERED
9606.ENSP00000362287,EIF2C3,0,0,0,0,LINKER
9606.ENSP00000337056,CDKN2D,0,0,0,0,LINKER
9606.ENSP00000449241,AGAP2,1,46,0,47,ALTERED
9606.ENSP00000362082,CCND3,0,0,0,0,LINKER
9606.ENSP00000362306,EIF2C4,0,0,0,0,LINKER
9606.ENSP00000362300,EIF2C1,0,0,0,0,LINKER
9606.ENSP00000356150,MDM4,1,26,0,27,ALTERED
9606.ENSP00000257904,CDK4,0,46,0,46,ALTERED
