name,hgnc_symbol,som.freq,amp.freq,del.freq,Freq,Type
9606.ENSP00000359635,FGF13,0,0,0,0,LINKER
9606.ENSP00000384675,SOS1,0,0,0,0,LINKER
9606.ENSP00000358548,NRAS,0,0,0,0,LINKER
9606.ENSP00000351015,NF1,29,2,7,38,ALTERED
9606.ENSP00000341189,PTK2,0,0,0,0,LINKER
9606.ENSP00000309845,HRAS,0,0,0,0,LINKER
9606.ENSP00000288135,KIT,3,25,0,28,ALTERED
9606.ENSP00000276440,DOCK5,9,0,0,9,ALTERED
9606.ENSP00000275493,EGFR,72,135,0,207,ALTERED
9606.ENSP00000274335,PIK3R1,31,0,2,33,ALTERED
9606.ENSP00000340944,PTPN11,0,0,0,0,LINKER
9606.ENSP00000263967,PIK3CA,28,6,0,34,ALTERED
9606.ENSP00000257290,PDGFRA,11,37,0,48,ALTERED
9606.ENSP00000377380,ARHGAP9,2,22,0,24,ALTERED
9606.ENSP00000256078,KRAS,0,0,0,0,LINKER
9606.ENSP00000300574,CRK,0,0,0,0,LINKER
9606.ENSP00000357130,SPTA1,25,1,0,26,ALTERED
9606.ENSP00000343204,JAK1,0,0,0,0,LINKER
