HGNC.symbol,UniProt.Ac
BTC,P35070
GAST,P01350
HAP1,P54257
JUP,P14923
FKBP10,Q96AY3
GOLGA6L6,A8MZA4
NT5C3B,Q969T7
IGHV1OR21-1,A6NJS3
KLHL10,Q6JEL2
POTEB2,H3BUK9
KLHL11,Q9NVR0
SECISBP2L,Q93073
ACLY,P53396
TPTE,P56180
TTC25,Q96NG3
POTED,Q86YR6
CNP,P09543
LDLRAD4,O15165
DNAJC7,Q99615
LIPI,Q6XZB0
OR4M2,Q8NGB6
NKIRAS2,Q9NYR9
OR4N4,Q8N0Y3
RBM11,P57052
IGHV4OR15-8,A6NJ16
HSPA13,P48723
DHX58,Q96C10
SAMSN1,Q9NSI8
KAT2A,Q92830
HSPB9,Q9BQS6
COPS2,P61201
RAB5C,P51148
NRIP1,P48552
TUBGCP5,Q96RT8
RMDN3,Q96TC7
GCHFR,P30047
MILR1,Q7Z6M3
POLG2,Q9UHN1
FAM210A,Q96ND0
DNAJC17,Q9NVM6
USP25,Q9UHP3
DDX5,P17844
ST8SIA5,O15466
C21orf37,A6NIU2
CEP95,Q96GE4
QSOX2,Q6ZRP7
CXADR,P78310
RNMT,O43148
PIAS2,O75928
BTG3,Q14201
C15orf62,A8K5M9
GALK2,Q01415
EPPIN-WFDC6,O95925
DOCK3,Q8IZD9
MANF,P55145
WFDC8,Q8IUA0
RBM15B,Q8NDT2
WFDC9,Q8NEX5
MROH1,Q8NDA8
C21orf91,Q9NYK6
TPM1,P09493
CRTC3,Q6UUV7
BOP1,Q14137
ZFYVE19,Q96K21
CHODL,Q9H9P2
VPRBP,Q9Y4B6
CSTF1,Q05048
WFDC10A,Q9H1F0
WFDC11,Q8NEX6
WFDC10B,Q8IUB3
WFDC13,Q8IUB5
SPINT4,Q6UDR6
TMPRSS15,P98073
RAD54L2,Q9Y4B4
HSF1,Q00613
CYFIP1,Q7L576
WFDC3,Q8IUB2
CASS4,Q9NQ75
KATNAL2,Q8IYT4
PPP1R14D,Q9NXH3
IDH3B,O43837
NCAM2,O15394
MC5R,P33032
FAM227B,Q96M60
MC2R,Q01718
DGAT1,O75907
LACTB,P83111
SCRT1,Q9BWW7
ZNF519,Q8TB69
CTSZ,Q9UBR2
BLM,P54132
MRPL39,Q9NYK5
RTFDC1,Q9BY42
SPINT1,O43278
EBF4,Q9BQW3
TUBB1,Q9H4B7
FGF7,P21781
TCEB3CL2,A6NLF2
TCEB3CL,Q3SY89
ATP5E,P56381
POTEC,B2RU33
DNTTIP1,Q9H147
RPS27L,Q71UM5
TCEB3C,Q8NG57
SLC52A2,Q9HAB3
JAM2,P57087
TCEB3B,Q8IYF1
FOXD4,Q12950
RAB8B,Q92930
GCNT7,Q6ZNI0
UBE2C,O00762
SLMO2,Q9Y3B1
HDHD2,Q9H0R4
ZBTB26,Q9HCK0
FAM209A,Q5JX71
ATP5J,P18859
FAM209B,Q5JX69
DTWD1,Q8N5C7
RHOV,Q96L33
CPXM1,Q96SM3
FURIN,P09958
NIPA2,Q8N8Q9
TFAP2C,Q92754
ZNF831,Q5JPB2
ADCK5,Q3MIX3
GABPA,Q06546
VPS18,Q9P253
TNNC2,P02585
IER3IP1,Q9Y5U9
APH1B,Q8WW43
RABGAP1,Q9Y3P9
DLL4,Q9NR61
EDN3,P14138
TMEM239,Q8WW34
C20orf141,Q9NUB4
