"Gene.Symbol","log2FC"
"ARHGEF10L",0.427992846715329
"HIF3A",-0.509066861313869
"RNF17",-0.460275474452555
"RNF10",-0.355330510948905
"RNF11",-1.00248423357664
"RNF13",0.447161751824817
"GTF2IP1",0.164177372262774
"REM1",0.132812408759124
"MTVR2",0.193430218978102
"RTN4RL2",-3.24337766423358
"C16orf13",-0.0634573722627749
"C16orf11",-1.49128686131387
"FGFR1OP2",-0.902183649635036
"TSKS",-0.338360583941606
"ATRX",-0.919047007299271
"PMM2",1.15790773722628
"LOC100272146",0.190250364963504
"ASS1",-1.75329532846715
"NCBP1",0.326494744525547
"ZNF709",0.688864525547445
"ZNF708",-0.365093284671534
"RBM14",0.399373430656935
"NCBP2",0.873225693430657
"DISC1",1.24685197080292
"CAMK1",-0.760194744525547
"RPL37",0.79857795620438
"SPR",1.13326423357664
"ZNF700",1.31689489051095
"ZNF707",-0.369488175182481
"CAMK4",-3.6204001459854
"ZNF704",-0.773354598540146
"LOC339240",0.97968204379562
"GOLGA6B",-1.39400613138686
"RNF115",0.339612116788322
"RNF112",-1.80209824817518
"ZC3H14",0.0744927007299268
"SPN",0.884698832116788
"HMGCLL1",-4.25737401459854
"NACAP1",-3.79524613138686
"LRRTM1",-3.17801270072993
"GRIN1",-7.78677270072993
"RBMY1A3P",0
"DHX8",0.373971094890512
"DHX9",0.24598306569343
"LOC441204",0.840572262773723
"TCOF1",-0.497058686131387
"LRRTM3",-1.60376890510949
"NUP98",0.462589489051094
"XPC",0.101389197080293
"SLC12A2",-1.38996204379562
"GRINA",-0.193149635036496
"LRRTM2",-2.00876583941606
"NUP93",0.791362481751825
"HAP1",0.092504671532847
"KLRA1",0.533601313868614
"CAMKV",-5.30781459854015
"SPPL3",-0.250791532846716
"GOLIM4",1.11220729927007
"ZNF646",-0.272216204379561
"OPA3",-0.149987299270073
"OPA1",-1.28000467153285
"RHEB",0.0521934306569332
"RAB40C",-1.49818729927007
"RAB40B",-3.03538919708029
"RAB40A",0.146402627737226
"COL7A1",-0.506194598540146
"MDP1",0.229188759124088
"GTSE1",5.22275299270073
"FAM183A",3.04653080291971
"ARFRP1",-0.297421605839416
"OVCH1",-0.349154890510949
"FAM183B",0.298654160583942
"PSAP",-0.00383518248175108
"KIAA0831",-0.177404379562043
"SPPL2A",1.48530525547445
"SLC46A1",-0.0537070072992698
