"name","hgnc_symbol","som.freq","amp.freq","del.freq","Freq","Type"
"9606.ENSP00000007722","ITGA3",0,0,0,0,"LINKER"
"9606.ENSP00000170630","IL4R",7,0,0,7,"ALTERED"
"9606.ENSP00000200181","ITGB4",0,0,0,0,"LINKER"
"9606.ENSP00000218089","STAG2",12,0,2,14,"ALTERED"
"9606.ENSP00000227507","CCND1",0,0,0,0,"LINKER"
"9606.ENSP00000229135","IFNG",0,0,0,0,"LINKER"
"9606.ENSP00000229179","NUP107",2,19,0,21,"ALTERED"
"9606.ENSP00000231021","CDH9",7,0,0,7,"ALTERED"
"9606.ENSP00000231509","NR3C1",0,0,0,0,"LINKER"
"9606.ENSP00000233242","APOB",14,0,0,14,"ALTERED"
"9606.ENSP00000239347","IFNA7",0,0,65,65,"ALTERED"
"9606.ENSP00000240055","NFYB",0,0,0,0,"LINKER"
"9606.ENSP00000240343","DYNLL2",0,0,0,0,"LINKER"
"9606.ENSP00000242577","DYNLL1",0,0,0,0,"LINKER"
"9606.ENSP00000243077","LRP1",8,9,1,18,"ALTERED"
"9606.ENSP00000244007","PLCG1",0,0,0,0,"LINKER"
"9606.ENSP00000244741","CDKN1A",0,0,0,0,"LINKER"
"9606.ENSP00000245414","IRF1",0,0,0,0,"LINKER"
"9606.ENSP00000245503","MYH2",8,0,2,10,"ALTERED"
"9606.ENSP00000251775","SNX4",0,0,0,0,"LINKER"
"9606.ENSP00000252172","MYH13",8,0,1,9,"ALTERED"
"9606.ENSP00000252936","TUBGCP2",0,0,12,12,"ALTERED"
"9606.ENSP00000252945","CYP2E1",1,0,15,16,"ALTERED"
"9606.ENSP00000252999","LAMA5",0,0,0,0,"LINKER"
"9606.ENSP00000254770","LANCL2",1,83,0,84,"ALTERED"
"9606.ENSP00000256078","KRAS",0,0,0,0,"LINKER"
"9606.ENSP00000257287","CEP135",1,11,0,12,"ALTERED"
"9606.ENSP00000257290","PDGFRA",11,37,0,48,"ALTERED"
"9606.ENSP00000257904","CDK4",0,46,0,46,"ALTERED"
"9606.ENSP00000258774","HUS1",0,10,0,10,"ALTERED"
"9606.ENSP00000259555","IFNA5",0,0,72,72,"ALTERED"
"9606.ENSP00000261254","CCND2",0,0,0,0,"LINKER"
"9606.ENSP00000261383","DNAH3",11,0,2,13,"ALTERED"
"9606.ENSP00000262189","MLL3",10,0,0,10,"ALTERED"
"9606.ENSP00000262442","DNAH9",8,1,2,11,"ALTERED"
"9606.ENSP00000262662","CDKN2C",3,0,11,14,"ALTERED"
"9606.ENSP00000263816","LRP2",17,1,0,18,"ALTERED"
"9606.ENSP00000263923","KDR",8,19,0,27,"ALTERED"
"9606.ENSP00000263967","PIK3CA",28,6,0,34,"ALTERED"
"9606.ENSP00000264218","NMU",0,12,0,12,"ALTERED"
"9606.ENSP00000264316","TXK",1,11,0,12,"ALTERED"
"9606.ENSP00000264515","RBBP5",2,11,0,13,"ALTERED"
"9606.ENSP00000264818","TYK2",0,0,0,0,"LINKER"
"9606.ENSP00000265104","DNAH5",14,0,0,14,"ALTERED"
"9606.ENSP00000265382","PIP5K1B",0,0,0,0,"LINKER"
"9606.ENSP00000265709","ANK1",0,0,0,0,"LINKER"
"9606.ENSP00000265724","ABCB1",10,7,0,17,"ALTERED"
"9606.ENSP00000265741","CDK14",0,10,1,11,"ALTERED"
"9606.ENSP00000266497","PIK3C2G",9,3,1,13,"ALTERED"
"9606.ENSP00000266646","INHBE",1,21,0,22,"ALTERED"
"9606.ENSP00000267163","RB1",25,0,7,32,"ALTERED"
"9606.ENSP00000268919","KIF2B",8,0,0,8,"ALTERED"
"9606.ENSP00000269305","TP53",78,0,5,83,"ALTERED"
"9606.ENSP00000270139","IFNAR1",0,0,0,0,"LINKER"
"9606.ENSP00000273130","DYNC1LI1",0,0,0,0,"LINKER"
"9606.ENSP00000274170","CDH18",10,1,0,11,"ALTERED"
"9606.ENSP00000274335","PIK3R1",31,0,2,33,"ALTERED"
