Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
G1 to S cell cycle control(Mus musculus)	12/60	0.000000000000000000000391410843	0.0000000000000000000293558132	-1.9718149773971871	88.68197707095618	CDKN2D;RB1;CCND3;CDKN1A;CDKN2B;CCND2;CDKN2C;CCND1;CDK4;CDKN2A;MDM2;TP53
G1 to S cell cycle control(Homo sapiens)	12/67	0.000000000000000000001301769076	0.000000000000000000048816340357	-1.9292972448056218	85.78855930729029	CDKN2D;RB1;CCND3;CDKN1A;CDKN2B;CCND2;CDKN2C;CCND1;CDK4;CDKN2A;MDM2;TP53
Signaling Pathways in Glioblastoma(Homo sapiens)	11/83	0.000000000000000003370670749519	0.000000000000000084266768737971	-1.947411783681157	72.07866450293648	RB1;CDKN1A;CDKN2B;CCND2;CDKN2C;CCND1;CDK4;CDKN2A;MDM2;MDM4;TP53
miRNA regulation of DNA Damage Response(Mus musculus)	8/63	0.0000000000008586605632878073	0.000000000016099885561646385	-1.8300776089062176	45.48147113479612	RB1;CCND3;CDKN1A;CCND2;CCND1;CDK4;MDM2;TP53
DNA Damage Response(Homo sapiens)	8/69	0.0000000000016889347147029236	0.000000000025334020720543854	-1.8259440898703005	44.55097782780617	RB1;CCND3;CDKN1A;CCND2;CCND1;CDK4;MDM2;TP53
Cell Cycle(Homo sapiens)	8/104	0.000000000036955301414801715	0.0000000004257242314616732	-1.7986128438018396	38.80908179447931	RB1;CCND3;CDKN1A;CCND2;CDK4;CDKN2A;MDM2;TP53
miRNA Regulation of DNA Damage Response(Homo sapiens)	8/105	0.0000000000397342616030895	0.0000000004257242314616732	-1.7879795089985246	38.57964389095714	RB1;CCND3;CDKN1A;CCND2;CCND1;CDK4;MDM2;TP53
DNA Damage Response (only ATM dependent)(Homo sapiens)	7/93	0.000000001040725350160444	0.000000008672711251337034	-1.8201920015424626	33.78837770992625	CCND3;CDKN1A;CCND2;CCND1;CDKN2A;MDM2;TP53
RB in Cancer(Homo sapiens)	7/87	0.0000000006697137345465209	0.0000000062785662613736335	-1.7140681314294182	32.37210359148742	RB1;CCND3;CDKN1A;CCND1;CDK4;MDM2;TP53
Integrated Pancreatic Cancer Pathway(Homo sapiens)	6/195	0.0000035482682749254863	0.000020470778509185498	-1.8730888249149815	20.222826213705208	CDKN1A;CDKN2B;CCND1;CDK4;MDM2;TP53
