Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
EGFR1 Signaling Pathway(Mus musculus)	10/172	0.000000000004313981677347087	0.00000000012079148696571845	-2.088872591046132	47.70348999966284	NRAS;PIK3CA;KRAS;PTPN11;PIK3R1;SOS1;CRK;HRAS;EGFR;JAK1
IL-3 Signaling Pathway(Mus musculus)	9/97	0.0000000000014721492305267882	0.00000000005496023793966676	-2.001976091308382	47.295506270915766	PIK3CA;KRAS;PTPN11;PIK3R1;SOS1;CRK;HRAS;PTK2;JAK1
Regulation of Actin Cytoskeleton(Homo sapiens)	10/144	0.0000000000007955193521788918	0.00000000005496023793966676	-1.993324722578249	47.091122779122614	PDGFRA;NRAS;PIK3CA;KRAS;PIK3R1;FGF13;SOS1;CRK;EGFR;PTK2
Regulation of Actin Cytoskeleton(Mus musculus)	10/148	0.0000000000010320791433679364	0.00000000005496023793966676	-1.9929282128974894	47.08175547140387	PDGFRA;NRAS;PIK3CA;KRAS;PIK3R1;FGF13;SOS1;CRK;EGFR;PTK2
Signaling Pathways in Glioblastoma(Homo sapiens)	8/83	0.00000000002806445814709638	0.000000000628643862494959	-1.8869855030142388	39.98042272520733	PDGFRA;NRAS;PIK3CA;NF1;KRAS;PIK3R1;HRAS;EGFR
EGF/EGFR Signaling Pathway(Homo sapiens)	9/161	0.00000000011012706499567051	0.0000000020557052132525164	-1.9875036170800187	39.75533302199721	KRAS;PTPN11;PIK3R1;SOS1;CRK;HRAS;EGFR;PTK2;JAK1
Signaling of Hepatocyte Growth Factor Receptor(Homo sapiens)	6/33	0.00000000043525067889649474	0.000000006093509504550927	-1.7731065594793889	33.540157525243174	PIK3CA;PTPN11;SOS1;CRK;HRAS;PTK2
Signaling of Hepatocyte Growth Factor Receptor(Mus musculus)	6/34	0.0000000005113093619391357	0.000000006362960948575911	-1.7485950912630723	33.00083649517931	PIK3CA;PTPN11;SOS1;CRK;HRAS;PTK2
Nanoparticle-mediated activation of receptor signaling(Homo sapiens)	6/28	0.00000000018073682599844948	0.0000000028917892159751917	-1.6764014377975096	32.96038317005	NRAS;KRAS;SOS1;HRAS;EGFR;PTK2
Chemokine signaling pathway(Mus musculus)	8/165	0.000000005039832427585768	0.0000000564461231889606	-1.853697081465349	30.938165780230037	NRAS;PIK3CA;KRAS;PIK3R1;SOS1;CRK;HRAS;PTK2
ErbB Signaling Pathway(Homo sapiens)	6/54	0.000000006476024846268997	0.00000006593770752564797	-1.6882692144362181	27.91478079876267	KRAS;SOS1;CRK;HRAS;EGFR;PTK2
ESC Pluripotency Pathways(Mus musculus)	7/116	0.000000014473800259374054	0.00000012469735608076109	-1.6913673469736479	26.888302984782225	PDGFRA;PTPN11;FGF13;SOS1;HRAS;EGFR;JAK1
Kit receptor signaling pathway(Homo sapiens)	6/59	0.00000001060634396709089	0.00000009899254369284831	-1.6395334185821808	26.44275781328282	KIT;PTPN11;PIK3R1;SOS1;CRK;HRAS
Oncostatin M Signaling Pathway(Homo sapiens)	6/65	0.000000018228819034803944	0.00000014583055227843156	-1.6245221434346881	25.57131144198076	KRAS;PTPN11;PIK3R1;SOS1;HRAS;JAK1
Kit Receptor Signaling Pathway(Mus musculus)	6/67	0.000000021603129198517917	0.00000016130336468226711	-1.4848026993366124	23.222283025267153	KIT;PTPN11;PIK3R1;SOS1;CRK;HRAS
Alpha 6 Beta 4 signaling pathway(Homo sapiens)	5/33	0.00000003563854229763607	0.00000024946979608345246	-1.3432724559249876	20.423017686622366	PTPN11;PIK3R1;SOS1;HRAS;PTK2
IL-6 signaling Pathway(Mus musculus)	6/97	0.00000017360140256815677	0.0000009258741470301694	-1.461643822567237	20.30592703218876	PTPN11;PIK3R1;SOS1;HRAS;PTK2;JAK1
IL-5 Signaling Pathway(Homo sapiens)	5/40	0.00000008579989722150741	0.0000005652699111064018	-1.4015074295336396	20.162033326282398	KRAS;PTPN11;PIK3R1;SOS1;JAK1
Focal Adhesion(Mus musculus)	7/183	0.000000294873905386211	0.0000014359077131850274	-1.4956344556791408	20.121837252045804	PDGFRA;PIK3CA;PIK3R1;SOS1;CRK;EGFR;PTK2
Focal Adhesion(Homo sapiens)	7/186	0.0000003282726428362881	0.0000014706614399065708	-1.4692579185225638	19.73183749534092	PDGFRA;PIK3CA;PIK3R1;SOS1;CRK;EGFR;PTK2
IL-2 Signaling Pathway(Homo sapiens)	5/42	0.00000010738588839189107	0.0000006681788611050999	-1.383759826932446	19.675279610073186	PTPN11;PIK3R1;SOS1;HRAS;JAK1
Aryl Hydrocarbon Receptor(Homo sapiens)	5/43	0.0000001196847578392168	0.000000705510151473278	-1.3289945485719898	18.824336859441193	NRAS;NF1;KRAS;HRAS;EGFR
IL-3 Signaling Pathway(Homo sapiens)	5/49	0.0000002189785306534828	0.0000011147997924177306	-1.299583176986189	17.813173121230047	PTPN11;PIK3R1;SOS1;HRAS;JAK1
ErbB signaling pathway(Mus musculus)	5/45	0.000000147630888090703	0.000000826732973307937	-1.253766754584703	17.55998645142757	SOS1;CRK;HRAS;EGFR;PTK2
IL-4 Signaling Pathway(Homo sapiens)	5/53	0.0000003152889683712805	0.0000014706614399065708	-1.2961052579815018	17.406432189295128	PIK3CA;PTPN11;PIK3R1;SOS1;JAK1
Leptin signaling pathway(Homo sapiens)	5/61	0.0000006072587736134916	0.000002615883947873502	-1.2297838288236551	15.807528795459625	PTPN11;PIK3R1;SOS1;HRAS;JAK1
Insulin Signaling(Mus musculus)	6/153	0.0000022793728634526693	0.000009117491453810677	-1.3520026437309003	15.690417712699547	PIK3CA;PTPN11;PIK3R1;SOS1;CRK;HRAS
Insulin Signaling(Homo sapiens)	6/163	0.000003256644854177338	0.000012158140788928729	-1.348306992434591	15.259480012089064	PIK3CA;PTPN11;PIK3R1;SOS1;CRK;HRAS
