"from","to","neighborhood","neighborhood_transferred","fusion","cooccurence","homology","coexpression","coexpression_transferred","experiments","experiments_transferred","database","database_transferred","textmining","textmining_transferred","combined_score","i.weight"
"9606.ENSP00000007722","9606.ENSP00000200181",258,114,1,271,852,160,87,567,172,800,312,658,174,972,0.359014834964833
"9606.ENSP00000007722","9606.ENSP00000252999",258,114,1,271,852,160,87,564,172,900,312,301,64,928,0.468554232676326
"9606.ENSP00000007722","9606.ENSP00000275493",258,114,1,271,624,160,65,570,107,900,312,213,200,917,0.0791326127744043
"9606.ENSP00000007722","9606.ENSP00000303351",258,114,1,271,628,160,65,808,64,900,312,701,102,994,0.339412989165171
"9606.ENSP00000007722","9606.ENSP00000374309",258,114,1,271,627,160,65,570,149,900,312,213,181,917,0.12409746214884
"9606.ENSP00000007722","9606.ENSP00000392423",258,114,1,271,867,160,65,808,149,900,312,486,221,946,0.29115385508012
"9606.ENSP00000007722","9606.ENSP00000400365",258,114,1,271,867,160,65,808,149,900,312,197,188,916,0.217459820561324
"9606.ENSP00000170630","9606.ENSP00000331504",258,462,411,526,631,160,82,576,186,900,312,86,194,957,0.623833436905631
"9606.ENSP00000170630","9606.ENSP00000343204",258,462,411,526,631,160,90,809,186,900,312,502,64,989,0.243754339406575
"9606.ENSP00000170630","9606.ENSP00000352575",258,462,411,526,631,160,90,566,186,900,312,163,64,954,0.518578113603969
"9606.ENSP00000170630","9606.ENSP00000401303",258,462,411,526,631,160,81,808,186,900,312,287,191,985,0.546197763802485
"9606.ENSP00000200181","9606.ENSP00000252999",258,67,630,480,609,160,91,570,103,900,312,253,174,932,0.259515286823164
"9606.ENSP00000200181","9606.ENSP00000263967",258,67,630,480,610,160,91,353,75,900,312,67,103,909,0.0942447441095217
"9606.ENSP00000200181","9606.ENSP00000274335",258,67,630,480,810,160,91,576,240,900,312,68,141,902,0.188737316354907
"9606.ENSP00000200181","9606.ENSP00000275493",258,67,630,480,810,160,91,309,75,900,312,243,105,946,0.105327243258059
"9606.ENSP00000200181","9606.ENSP00000282588",258,67,630,480,810,160,91,309,149,800,312,565,63,921,0.0784054823089225
"9606.ENSP00000200181","9606.ENSP00000303351",258,67,630,480,840,160,91,570,243,900,312,569,142,909,0.0322696902221368
"9606.ENSP00000200181","9606.ENSP00000309845",258,67,630,480,840,160,91,570,84,900,312,209,456,917,0.122225486075538
"9606.ENSP00000200181","9606.ENSP00000341189",258,67,630,480,840,160,91,576,101,800,312,125,104,929,0.209617626506461
